x0001,y0001
-0.6166666667,-0.001647778
-0.6156862745,-0.0015670445
-0.6147058824,-0.0015009978
-0.6137254902,-0.0014546157
-0.6127450980,-0.0014298069
-0.6117647059,-0.0014252804
-0.6107843137,-0.0014368759
-0.6098039216,-0.0014582897
-0.6088235294,-0.0014820601
-0.6078431373,-0.0015006455
-0.6068627451,-0.0015074365
-0.6058823529,-0.0014975413
-0.6049019608,-0.0014682598
-0.6039215686,-0.0014191956
-0.6029411765,-0.0013520274
-0.6019607843,-0.0012700049
-0.6009803922,-0.0011772894
-0.6,-0.0010782552
-0.5990196078,-0.0009768925
-0.5980392157,-0.0008764002
-0.5970588235,-0.0007790388
-0.5960784314,-0.0006862539
-0.5950980392,-0.0005990242
-0.5941176471,-0.0005183438
-0.5931372549,-0.0004457214
-0.5921568627,-0.0003835653
-0.5911764706,-0.0003353382
-0.5901960784,-0.0003054124
-0.5892156863,-0.0002986085
-0.5882352941,-0.0003194675
-0.587254902,-0.0003713646
-0.5862745098,-0.0004556127
-0.5852941176,-0.000570732
-0.5843137255,-0.0007120291
-0.5833333333,-0.0008716093
-0.5823529412,-0.001038872
-0.5813725490,-0.0012014665
-0.5803921569,-0.0013466125
-0.5794117647,-0.0014626234
-0.5784313725,-0.0015404262
-0.5774509804,-0.0015748478
-0.5764705882,-0.0015654601
-0.5754901961,-0.0015168216
-0.5745098039,-0.0014380239
-0.5735294118,-0.0013415714
-0.5725490196,-0.0012417053
-0.5715686275,-0.0011524155
-0.5705882353,-0.0010854312
-0.5696078431,-0.001048523
-0.568627451,-0.0010444114
-0.5676470588,-0.0010704958
-0.5666666667,-0.0011194684
-0.5656862745,-0.0011807317
-0.5647058824,-0.001242374
-0.5637254902,-0.0012933487
-0.5627450980,-0.0013254574
-0.5617647059,-0.0013347573
-0.5607843137,-0.001322144
-0.5598039216,-0.0012929897
-0.5588235294,-0.0012559386
-0.5578431373,-0.001221092
-0.5568627451,-0.0011979569
-0.5558823529,-0.0011935581
-0.5549019608,-0.0012110781
-0.5539215686,-0.0012492778
-0.5529411765,-0.0013027879
-0.5519607843,-0.0013631962
-0.5509803922,-0.0014207019
-0.55,-0.0014660027
-0.5490196078,-0.0014920624
-0.5480392157,-0.001495418
-0.5470588235,-0.0014768167
-0.5460784314,-0.0014410702
-0.5450980392,-0.001396194
-0.5441176471,-0.0013520019
-0.5431372549,-0.0013184265
-0.5421568627,-0.0013038635
-0.5411764706,-0.0013138172
-0.5401960784,-0.00135006
-0.5392156863,-0.001410406
-0.5382352941,-0.0014891112
-0.537254902,-0.0015777895
-0.5362745098,-0.0016666816
-0.5352941176,-0.0017460511
-0.5343137255,-0.0018075064
-0.5333333333,-0.001845046
-0.5323529412,-0.0018557109
-0.5313725490,-0.0018397719
-0.5303921569,-0.0018004596
-0.5294117647,-0.0017433217
-0.5284313725,-0.0016753076
-0.5274509804,-0.0016037376
-0.5264705882,-0.0015352916
-0.5254901961,-0.0014751587
-0.5245098039,-0.0014264319
-0.5235294118,-0.0013898185
-0.5225490196,-0.001363674
-0.5215686275,-0.0013443391
-0.5205882353,-0.001326733
-0.5196078431,-0.0013051112
-0.518627451,-0.0012739012
-0.5176470588,-0.0012285106
-0.5166666667,-0.0011660018
-0.5156862745,-0.001085547
-0.5147058824,-0.0009886022
-0.5137254902,-0.0008787676
-0.5127450980,-0.0007613642
-0.5117647059,-0.000642782
-0.5107843137,-0.0005297125
-0.5098039216,-0.0004283829
-0.5088235294,-0.0003439137
-0.5078431373,-0.00027989
-0.5068627451,-0.000238192
-0.5058823529,-0.0002190721
-0.5049019608,-0.000221417
-0.5039215686,-0.0002431112
-0.5029411765,-0.0002813998
-0.5019607843,-0.0003331827
-0.5009803922,-0.0003951998
-0.5,-0.00046412
-0.4990196078,-0.0005365745
-0.4980392157,-0.0006091933
-0.4970588235,-0.000678697
-0.4960784314,-0.0007420671
-0.4950980392,-0.0007967870
-0.4941176471,-0.0008411031
-0.4931372549,-0.0008742501
-0.4921568627,-0.0008965795
-0.4911764706,-0.0009095559
-0.4901960784,-0.0009156153
