x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007,x0008,y0008,x0009,y0009,x0010,y0010,x0011,y0011,x0012,y0012,x0013,y0013,x0014,y0014,x0015,y0015,x0016,y0016,x0017,y0017,x0018,y0018,x0019,y0019,x0020,y0020,x0021,y0021
-0.0196078431,9.9950546806,-0.0196078431,12.0012261651,-0.0196078431,13.9997874808,-0.0196078431,15.9995606873,-0.0196078431,17.995181286,-0.0196078431,19.9993751404,-0.0196078431,21.9770095031,-0.0196078431,24.0013877303,-0.0196078431,26.0160919985,-0.0196078431,27.9990370082,-0.0196078431,29.9796164572,-0.0196078431,32.0124744803,-0.0196078431,34.0309570038,-0.0196078431,36.0239139950,-0.0196078431,38.0146209787,-0.0196078431,40.0544894769,-0.0196078431,42.0250715659,-0.0196078431,43.9846618542,-0.0196078431,46.0185006545,-0.0196078431,47.9843727339,-0.0196078431,50.0000862142,-0.0196078431,8.0364147645
-0.018627451,9.9948610127,-0.018627451,12.0010732392,-0.018627451,13.9995382211,-0.018627451,15.9995090907,-0.018627451,17.9958029489,-0.018627451,19.9986058638,-0.018627451,21.9770089328,-0.018627451,23.9996358841,-0.018627451,26.0170150537,-0.018627451,27.9986428497,-0.018627451,29.9795085549,-0.018627451,32.0089056023,-0.018627451,34.0311535550,-0.018627451,36.0219423198,-0.018627451,38.0109857851,-0.018627451,40.0555679764,-0.018627451,42.0298980274,-0.018627451,43.983467899,-0.018627451,46.0166842423,-0.018627451,47.9814938008,-0.018627451,50.0019424311,-0.018627451,8.0483041751
-0.0176470588,9.9946823029,-0.0176470588,12.0008538683,-0.0176470588,13.9993481375,-0.0176470588,15.9991802183,-0.0176470588,17.9962920049,-0.0176470588,19.9980146213,-0.0176470588,21.9772864506,-0.0176470588,23.9978645851,-0.0176470588,26.0172672711,-0.0176470588,27.9982136299,-0.0176470588,29.9792718256,-0.0176470588,32.0051287601,-0.0176470588,34.0306006326,-0.0176470588,36.0197336170,-0.0176470588,38.0068648886,-0.0176470588,40.0572812402,-0.0176470588,42.0348967472,-0.0176470588,43.9834013965,-0.0176470588,46.0151008456,-0.0176470588,47.9811359912,-0.0176470588,50.0032404747,-0.0176470588,8.0531995822
-0.0166666667,9.9945152738,-0.0166666667,12.0006187157,-0.0166666667,13.9992080801,-0.0166666667,15.9985633369,-0.0166666667,17.9966133398,-0.0166666667,19.9975672667,-0.0166666667,21.9778822608,-0.0166666667,23.9962577625,-0.0166666667,26.0169450757,-0.0166666667,27.9977794736,-0.0166666667,29.9790157716,-0.0166666667,32.0016429883,-0.0166666667,34.0292905971,-0.0166666667,36.0175752673,-0.0166666667,38.0021314685,-0.0166666667,40.0595743390,-0.0166666667,42.0398573761,-0.0166666667,43.9846233484,-0.0166666667,46.0140371798,-0.0166666667,47.9831499154,-0.0166666667,50.0039818215,-0.0166666667,8.0487407856
-0.0156862745,9.9943508638,-0.0156862745,12.0004211348,-0.0156862745,13.9991086892,-0.0156862745,15.9976964604,-0.0156862745,17.9967615661,-0.0156862745,19.9972207625,-0.0156862745,21.9788290456,-0.0156862745,23.9949889985,-0.0156862745,26.0162470396,-0.0156862745,27.9973798772,-0.0156862745,29.9789126143,-0.0156862745,31.9988825848,-0.0156862745,34.0272962185,-0.0156862745,36.0156850884,-0.0156862745,37.9967370212,-0.0156862745,40.0622879879,-0.0156862745,42.0445340997,-0.0156862745,43.9870309058,-0.0156862745,46.0137289388,-0.0156862745,47.9869893237,-0.0156862745,50.0042871477,-0.0156862745,8.0345774643
-0.0147058824,9.9941775295,-0.0147058824,12.0003049612,-0.0147058824,13.9990435149,-0.0147058824,15.9966637111,-0.0147058824,17.9967589957,-0.0147058824,19.9969350938,-0.0147058824,21.9801396344,-0.0147058824,23.9941899494,-0.0147058824,26.0154347323,-0.0147058824,27.9970623278,-0.0147058824,29.9791575912,-0.0147058824,31.9971470107,-0.0147058824,34.024762625,-0.0147058824,36.014190901,-0.0147058824,37.9907471104,-0.0147058824,40.0651849670,-0.0147058824,42.0486613224,-0.0147058824,43.9902683832,-0.0147058824,46.0143211985,-0.0147058824,47.9917993933,-0.0147058824,50.0043858480,-0.0147058824,8.0128148805
-0.0137254902,9.9939849286,-0.0137254902,12.0002951932,-0.0137254902,13.9990104879,-0.0137254902,15.9955839692,-0.0137254902,17.9966494008,-0.0137254902,19.9966822078,-0.0137254902,21.9817949645,-0.0137254902,23.9939250684,-0.0137254902,26.0147803494,-0.0137254902,27.9968773108,-0.0137254902,29.9799190954,-0.0137254902,31.9965570513,-0.0137254902,34.0218897374,-0.0137254902,36.0131298153,-0.0137254902,37.9843541018,-0.0137254902,40.0679890246,-0.0137254902,42.0519751309,-0.0137254902,43.9937887120,-0.0137254902,46.0158391014,-0.0137254902,47.9965602048,-0.0137254902,50.0045770512,-0.0137254902,7.9879178525
-0.0127450980,9.9937672788,-0.0127450980,12.0003938278,-0.0127450980,13.9990114044,-0.0127450980,15.9945927792,-0.0127450980,17.9964892077,-0.0127450980,19.996450434,-0.0127450980,21.9837355832,-0.0127450980,23.9941780822,-0.0127450980,26.0145108838,-0.0127450980,27.9968707415,-0.0127450980,29.9812903185,-0.0127450980,31.9970440603,-0.0127450980,34.0189070785,-0.0127450980,36.0124634017,-0.0127450980,37.9778615888,-0.0127450980,40.0704289543,-0.0127450980,42.0542391483,-0.0127450980,43.9969545282,-0.0127450980,46.0181746669,-0.0127450980,48.0002612025,-0.0127450980,50.0051659865,-0.0127450980,7.9660025297
-0.0117647059,9.9935259240,-0.0117647059,12.0005818555,-0.0117647059,13.9990496111,-0.0117647059,15.9938207525,-0.0117647059,17.9963380023,-0.0117647059,19.9962438525,-0.0117647059,21.9858597882,-0.0117647059,23.9948534563,-0.0117647059,26.0147595698,-0.0117647059,27.9970756007,-0.0117647059,29.9832546066,-0.0117647059,31.9983726339,-0.0117647059,34.0160440689,-0.0117647059,36.0121022271,-0.0117647059,37.9716420172,-0.0117647059,40.0722792942,-0.0117647059,42.0552723629,-0.0117647059,43.9991599763,-0.0117647059,46.0210937009,-0.0117647059,48.0020736571,-0.0117647059,50.0063917746,-0.0117647059,7.9535884149
-0.0107843137,9.9932709496,-0.0107843137,12.0008269052,-0.0107843137,13.9991265988,-0.0107843137,15.9933722646,-0.0107843137,17.99624997,-0.0107843137,19.9960773686,-0.0107843137,21.9880304737,-0.0107843137,23.9957928697,-0.0107843137,26.0155343818,-0.0107843137,27.9975048046,-0.0107843137,29.9856737393,-0.0107843137,32.0001908291,-0.0107843137,34.0134997519,-0.0107843137,36.0119326168,-0.0107843137,37.9660747192,-0.0107843137,40.0733897008,-0.0107843137,42.0549755208,-0.0107843137,43.9999500408,-0.0107843137,46.0242636192,-0.0107843137,48.0014976367,-0.0107843137,50.0083614953,-0.0107843137,7.9560238882
